schedule_id,flight_date,flight_number,departure_time,arrival_time,base_price
1,2022-01-01,EI 680,06:30:00,09:40:00,207.83
2,2022-01-01,EI 520,06:40:00,09:25:00,62.83
3,2022-01-01,EI 630,06:50:00,09:30:00,52.06
4,2022-01-01,EI 332,07:05:00,10:30:00,81.33
5,2022-01-01,EI 592,07:05:00,10:55:00,24.33
6,2022-01-01,EI 432,07:15:00,11:00:00,98.83
7,2022-01-01,EI 482,07:15:00,10:00:00,47.83
8,2022-01-01,EI 158,10:00:00,11:20:00,146.83
9,2022-01-01,EI 521,10:05:00,11:00:00,82
10,2022-01-01,EI 631,10:20:00,11:05:00,80.21
11,2022-01-01,EI 604,10:25:00,13:00:00,53.83
12,2022-01-01,EI 681,10:30:00,11:55:00,88.97
13,2022-01-01,EI 483,10:50:00,13:50:00,94
14,2022-01-01,EI 333,11:20:00,12:50:00,85.48
15,2022-01-01,EI 593,11:45:00,13:30:00,178.95
16,2022-01-01,EI 433,11:50:00,13:30:00,147.57
17,2022-01-01,EI 159,12:15:00,13:40:00,102.89
18,2022-01-01,EI 605,13:45:00,14:25:00,88.04
19,2022-01-02,EI 520,06:40:00,09:25:00,92.83
20,2022-01-02,EI 680,06:55:00,10:10:00,427.83
21,2022-01-02,EI 332,07:05:00,10:30:00,171.33
22,2022-01-02,EI 592,07:05:00,10:55:00,82.83
23,2022-01-02,EI 660,07:10:00,11:00:00,69.83
24,2022-01-02,EI 432,07:15:00,11:00:00,98.83
25,2022-01-02,EI 158,10:00:00,11:20:00,186.83
26,2022-01-02,EI 521,10:05:00,11:00:00,107
27,2022-01-02,EI 604,10:25:00,13:00:00,63.83
28,2022-01-02,EI 681,10:55:00,12:15:00,349.97
29,2022-01-02,EI 333,11:20:00,12:50:00,115.48
30,2022-01-02,EI 644,11:20:00,14:50:00,85.83
31,2022-01-02,EI 593,11:45:00,13:30:00,258.95
32,2022-01-02,EI 433,11:50:00,13:30:00,147.57
33,2022-01-02,EI 661,11:50:00,13:50:00,111.92
34,2022-01-02,EI 159,12:15:00,13:40:00,97.89
35,2022-01-02,EI 605,13:45:00,14:25:00,78.04
36,2022-01-02,EI 645,15:40:00,17:20:00,144.29
37,2022-01-02,EI 676,16:20:00,20:20:00,75.83
38,2022-01-02,EI 677,21:10:00,23:25:00,169.03
39,2022-01-03,EI 520,06:40:00,09:25:00,92.83
40,2022-01-03,EI 630,06:50:00,09:30:00,166.06
41,2022-01-03,EI 680,06:55:00,10:10:00,172.83
42,2022-01-03,EI 332,07:05:00,10:30:00,95.48
43,2022-01-03,EI 592,07:05:00,10:55:00,50.83
44,2022-01-03,EI 432,07:15:00,11:00:00,76.83
45,2022-01-03,EI 482,07:15:00,10:00:00,73.83
46,2022-01-03,EI 158,10:00:00,11:20:00,146.83
47,2022-01-03,EI 521,10:05:00,11:00:00,117
48,2022-01-03,EI 631,10:20:00,11:05:00,169.21
49,2022-01-03,EI 604,10:25:00,13:00:00,53.83
50,2022-01-03,EI 483,10:50:00,13:50:00,148
51,2022-01-03,EI 681,10:55:00,12:15:00,449.97
52,2022-01-03,EI 333,11:20:00,12:50:00,115.48
53,2022-01-03,EI 593,11:45:00,13:30:00,238.95
